#Table1,,,
ra,dec,z,bestObjID
181.57077,60.988176,6.726342,0
179.51483,58.182367,6.497554,1.23766E+18
180.07347,60.432879,6.497334,1.23766E+18
181.98567,60.326004,6.484123,0
181.31722,59.74629,6.419885,1.23766E+18
